"edad","grupo_edad","genero","comunidad_autonoma","nacido_espana","tamano_municipio","nivel_estudios","situacion_laboral","sector_laboral","ingresos_hogar","religion","lengua","ideologia","participacion_2023_raw","participacion_2023_final","voto_2023_raw","voto_2023_raw_otros","voto_2023_final","prob_voto_declarada","intencion_voto_raw","intencion_voto_raw_otros","intencion_voto_simpatia","intencion_voto_final","simpatia_partido","simpatia_partido_otros","nunca_pp","nunca_psoe","nunca_vox","nunca_sumar","nunca_podemos","nunca_salf","nunca_erc","nunca_junts","nunca_pnv","nunca_bildu","nunca_cc","nunca_bng","nunca_upn","nunca_ninguno","nunca_todos","prob_voto_pp","prob_voto_psoe","prob_voto_vox","prob_voto_sumar","prob_voto_podemos","prob_voto_salf","prob_voto_erc","prob_voto_junts","prob_voto_pnv","prob_voto_bildu","prob_voto_cc","prob_voto_bng","prob_voto_upn","lider_preferido","lider_preferido_otros","norma_social_voto","interes_politico","modelo_territorial","prob_voto_estimada","peso"
73,"+65","Hombre","País Vasco","Sí","Entre 100.000 y 500.000 habitantes","Universitaria","Jubilado","Autónomo","Entre 2000 y 2999 euros","Católico no practicante","Vasco","3","Votó","Votó","PNV","","PNV",10,"PNV","","PNV","Regionales",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,"No marcado","No marcado",,,,"No marcado","No marcado",,"Algo probable",,"Algo probable","Poco probable",,,,"Muy probable","Muy probable",,,,"Yolanda Díaz / Sumar","","Todos votan","Mucho","Federal",0.96981018781662,0.649349485077829
23,"18-24","Mujer","Andalucía","Sí","Entre 10.000 y 49.999 habitantes","FP","Estudiante","Otro","Menos de 1000 euros","Ateo/agnóstico","Castellano","2","No suele votar","Abstención",,"","Abstención",0,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Muy probable","Poco probable","Poco probable",,,,,,,,"Pedro Sánchez","","Mayoría vota","Nada","Federal",0.430105894804001,2.35666737379317
20,"18-24","Mujer","Andalucía","Sí","Entre 10.000 y 49.999 habitantes","Bachillerato","Estudiante","Otro","Entre 2000 y 2999 euros","Católico practicante","Castellano","10 Extr. der.","Sin edad","Sin edad",,"","Sin edad",9,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Muy probable",,"Muy probable","Poco probable","Poco probable","Poco probable",,,,,,,,"Abascal","","Todos votan","Mucho","Federal",0.916987895965576,0.942428759329346
25,"25-34","Mujer","Extremadura","Sí","Entre 50.000 y 99.999 habitantes","Bachillerato","Trabaja","Público","Entre 1000 y 1999 euros","Católico practicante","Castellano","4","Votó","Votó","PSOE","","PSOE",9,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Muy probable",,"Algo probable","Poco probable","Poco probable",,,,,,,,"Gabriel Rufián","","Todos votan","Poco","Mantener",0.901076912879944,0.313745285064006
76,"+65","Mujer","Comunidad de Madrid","Sí","Más de 500.000 habitantes","Bachillerato","Jubilado","Autónomo","Más de 5000 euros","Católico practicante","Castellano","5","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Algo probable",,,,,,,,,,"Pedro Sánchez","","Todos votan","Bastante","Mantener",0.983860969543457,0.943739568864666
73,"+65","Mujer","Comunidad Valenciana","No","Menos de 2000 habitantes","Universitaria","Jubilado","Otro","Entre 2000 y 2999 euros","Católico no practicante","Castellano","7","No pudo","Abstención",,"","Abstención",4,"PP","","PP","PP",,"","No marcado","No marcado","Nunca votaría","Nunca votaría","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Poco probable",,,,"Algo probable",,,,,,,,"NS","","Pocos votan","Poco","Mantener",0.667655110359192,2.33429743856557
69,"+65","Hombre","Comunidad Valenciana","Sí","Más de 500.000 habitantes","Bachillerato","Jubilado","Privado","Entre 2000 y 2999 euros","Católico no practicante","Otra",,"Votó","Votó",,"","PP",10,"Regionales","","Regionales","PSOE",,"","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Algo probable",,,,"Algo probable",,,,,,,,"Feijóo","","Todos votan","Mucho","Centralizado",0.97447407245636,0.935522654283544
19,"18-24","Mujer","Andalucía","Sí","Entre 10.000 y 49.999 habitantes","Secundaria/ESO","Parado","Otro","Entre 1000 y 1999 euros","Católico no practicante","Castellano",,"No suele votar","Abstención",,"","Abstención",6,"Otros","","PSOE","PSOE","PSOE","","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado",,,,,,,,,,,,,,"Ninguno","","Ninguno vota","Poco","Mantener",0.584991693496704,0.983384335786535
80,"+65","Mujer","Castilla-La Mancha","Sí","Entre 10.000 y 49.999 habitantes","Primaria","Jubilado","Otro","Entre 1000 y 1999 euros","Católico practicante","Castellano","8","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable",,,,,,,,,,,,,"Feijóo","","Todos votan","Nada","Centralizado",0.963094592094421,0.495734393564389
73,"+65","Hombre","Andalucía","No","Más de 500.000 habitantes","Universitaria","Jubilado","Público","Más de 5000 euros","Católico practicante","Castellano","6","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Muy probable",,,,,"Algo probable",,,,,,,,"Feijóo","","Mayoría vota","Mucho","Mantener",0.967994809150696,1.59773339667199
67,"+65","Hombre","Comunidad de Madrid","Sí","Entre 50.000 y 99.999 habitantes","Bachillerato","Jubilado","Privado","Entre 3000 y 5000 euros","Ateo/agnóstico","Castellano","2","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Poco probable","Algo probable",,,,,,,,,"Pedro Sánchez","","Todos votan","Mucho","Mantener",0.983902037143707,1.2066346078108
40,"35-44","Hombre","Región de Murcia","Sí","Entre 10.000 y 49.999 habitantes","Universitaria","Trabaja","Autónomo","Entre 3000 y 5000 euros","Católico practicante","Castellano","6","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable","Algo probable","Poco probable",,,,,,,,,,,"Feijóo","","Mayoría vota","Mucho","Mantener",0.94651609659195,1.66681367324944
77,"+65","Mujer","Islas Canarias","Sí","Entre 50.000 y 99.999 habitantes","Universitaria","Jubilado","Público","Entre 3000 y 5000 euros","Católico no practicante","Castellano","3","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría",,,,,"No marcado",,,"No marcado","No marcado","Muy probable",,,,,,,,,,"Algo probable",,,"Feijóo","","Todos votan","Poco","Mantener",0.974827289581299,2.21133091070945
70,"+65","Hombre","Islas Baleares","Sí","Entre 2000 y 9.999 habitantes","Bachillerato","Jubilado","Autónomo","Entre 1000 y 1999 euros","Ateo/agnóstico","Castellano","3","Votó","Votó","Sumar","","Sumar",9,"Otros","","Sumar","Sumar","Sumar-Més","","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Muy probable","Poco probable",,,,,,,,,"Pedro Sánchez","","Pocos votan","Mucho","Centralizado",0.938752114772797,0.760237381506371
49,"45-54","Hombre","Comunidad Foral de Navarra","No","Entre 100.000 y 500.000 habitantes","Universitaria","Trabaja","Público","Entre 1000 y 1999 euros","Otra","Castellano","9","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría",,,,"Nunca votaría",,,"Nunca votaría","No marcado","No marcado","Muy probable",,,,,,,,,,,,,"Feijóo","","Todos votan","Bastante","Federal",0.980361819267273,0.756488288913325
67,"+65","Hombre","La Rioja","Sí","Entre 100.000 y 500.000 habitantes","Bachillerato","Jubilado","Privado","Entre 2000 y 2999 euros",,"Castellano","6","Votó","Votó","PP","","PP",10,"Vox","","Vox","Vox",,"","No marcado","No marcado","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Poco probable","Algo probable",,,"Algo probable",,,,,,,,"Feijóo","","Mayoría vota","Bastante","Centralizado",0.93303394317627,0.860190305637282
69,"+65","Hombre","Castilla y León","Sí","Entre 10.000 y 49.999 habitantes","Universitaria","Trabaja","Público","Menos de 1000 euros",,"Castellano","2","Votó","Votó","PSOE","","PSOE",2,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Muy probable",,"Algo probable","Algo probable","Poco probable",,,,,,,,"Ninguno","","Pocos votan","Bastante","Mantener",0.777511119842529,0.760955489988516
21,"18-24","Mujer","Andalucía","Sí","Entre 50.000 y 99.999 habitantes","FP","Trabaja","Privado","Entre 1000 y 1999 euros","Ateo/agnóstico","Castellano","5","Votó","Votó","PP","","PP",10,"Otro","ciudadanos","Otro","Otros",,"","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Poco probable",,,,"Poco probable",,,,,,,,"Ninguno","","Todos votan","Poco","Federal",0.890614569187164,0.372576458749283
25,"25-34","Hombre","Comunidad de Madrid","Sí","Entre 10.000 y 49.999 habitantes","FP","Trabaja","Público","Entre 3000 y 5000 euros","Ateo/agnóstico","Castellano","7","No suele votar","Abstención",,"","Abstención",6,"Vox","","Vox","Vox",,"","No marcado","No marcado","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Algo probable","Algo probable",,,"Poco probable",,,,,,,,"Ninguno","","Mayoría vota","Bastante","Federal",0.684359967708588,4.25518986001492
73,"+65","Hombre","Castilla y León","Sí","Entre 100.000 y 500.000 habitantes","FP","Jubilado","Privado","Entre 2000 y 2999 euros","Ateo/agnóstico","Castellano","1","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Algo probable","Algo probable",,,,,,,,,"Pedro Sánchez","","Todos votan","Mucho","Mantener",0.982318818569183,0.613494267631169
70,"+65","Mujer","Comunidad Foral de Navarra","Sí","Entre 100.000 y 500.000 habitantes","Primaria","Trabajo doméstico","Otro","Entre 1000 y 1999 euros","Católico practicante","Castellano","5","Votó","Votó","Otro","Geroabai","Otros",10,"Otro","Geroabai","Otro","Otros",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,"No marcado",,,"Nunca votaría","No marcado","No marcado","Algo probable",,"Algo probable",,,,,,,"Algo probable",,,,"Feijóo","","Todos votan","Poco","Federal",0.93790602684021,0.524990133210372
69,"+65","Mujer","Galicia","Sí","Entre 10.000 y 49.999 habitantes","Bachillerato","Trabaja","Privado","Entre 1000 y 1999 euros","Católico practicante","Castellano","7","Votó","Votó","Vox","","Vox",10,"SALF","","SALF","SALF",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,"Nunca votaría",,"No marcado","No marcado","Poco probable",,"Algo probable",,,"Muy probable",,,,,,,,"Otro","Alvise Pérez","Todos votan","Bastante","Mantener",0.97105860710144,0.389048634014276
24,"18-24","Mujer","Comunidad de Madrid","Sí","Entre 100.000 y 500.000 habitantes","Universitaria","Trabaja","Privado","Entre 3000 y 5000 euros","Católico no practicante","Castellano","10 Extr. der.","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,"Muy probable",,,"Muy probable",,,,,,,,"Abascal","","Todos votan","Mucho","Centralizado",0.979028940200806,1.06041672125582
70,"+65","Mujer","Aragón","Sí","Más de 500.000 habitantes","Bachillerato","Jubilado","Privado","Entre 1000 y 1999 euros","Católico practicante","Castellano","0 Extr. izq.","Votó","Votó","Sumar","","Sumar",10,"Sumar","","Sumar","Sumar",,"","Nunca votaría","Nunca votaría","Nunca votaría","No marcado","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado",,,,"Muy probable",,,,,,,,,,"Yolanda Díaz / Sumar","","Todos votan","Poco","Centralizado",0.960024178028107,0.410125700014926
58,"55-64","Mujer","Extremadura","Sí","Entre 10.000 y 49.999 habitantes","Bachillerato","Trabaja","Público","Entre 3000 y 5000 euros","Católico practicante","Castellano","5","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Muy probable","Poco probable","Poco probable","Poco probable",,"Poco probable",,,,,,,,"Feijóo","","Mayoría vota","Mucho","Mantener",0.953664541244507,2.04841797477787
21,"18-24","Mujer","Andalucía","Sí","Entre 10.000 y 49.999 habitantes","Universitaria","Trabaja","Privado","Entre 2000 y 2999 euros","Católico practicante","Castellano","2","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Muy probable",,"Muy probable","Algo probable","Poco probable",,,,,,,,"Pedro Sánchez","","Todos votan","Mucho","Mantener",0.967935144901276,0.59053004870666
21,"18-24","Mujer","Andalucía","Sí","Entre 2000 y 9.999 habitantes","Secundaria/ESO","Trabaja","Privado","Entre 2000 y 2999 euros","Católico no practicante","Castellano","6","No suele votar","Abstención",,"","Abstención",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Muy probable",,"Poco probable","Algo probable","Poco probable","Poco probable",,,,,,,,"Yolanda Díaz / Sumar","","Pocos votan","Poco","Mantener",0.658364176750183,2.0804074753875
18,"18-24","Mujer","Cantabria","Sí","Entre 2000 y 9.999 habitantes","FP","Parado","Otro","Entre 2000 y 2999 euros","Ateo/agnóstico","Castellano","3","Sin edad","Sin edad",,"","Sin edad",10,"Otros","","PP","PP","PP","","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,,,,,,,,,,,,"NS","","Todos votan","Poco","Mantener",0.799009561538696,0.838922882109216
24,"18-24","Mujer","Andalucía","Sí","Menos de 2000 habitantes","Bachillerato","Trabajo doméstico","Autónomo","Menos de 1000 euros","Católico practicante","Castellano","5","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","No marcado","Nunca votaría","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Poco probable","Algo probable",,,,,,,,,,,"Pedro Sánchez","","Mayoría vota","Bastante","Centralizado",0.877306044101715,0.704950456601096
